x,y,z,vx,vy,vz
6419.343629488442,5099.7463738254955,21964.50539043782,-1.8590124989668197,-3.4286540789999247,1.33906033647298
6418.566442794208,5098.312994294769,21965.065131845993,-1.85909550321664,-3.4287200151423898,1.3387763072948964
6080.053845069528,4477.393999032507,22195.456694503224,-1.8939638562141146,-3.455436318295092,1.2155723377177774
5385.9046798829695,3224.244432153316,22588.58887285382,-1.9578751401493715,-3.49836946782594,0.9659325158083566
4305.572475918564,1322.7554823176395,23007.725248314287,-2.0389006910285743,-3.5363900204597734,0.5847001151227735
2806.9081571101233,-1227.4045395325072,23243.364251713825,-2.118208288718235,-3.5374573887804317,0.06893239590774819
873.6758373997861,-4382.037355475237,23014.63819516494,-2.1695324870524,-3.4592281687215225,-0.5762250579106032
-1470.3062579396064,-8015.656197602737,21982.567959421332,-2.159529791516698,-3.251589158528584,-1.3298712790977494
-4131.928239474047,-11881.571739423052,19784.290987440352,-2.0499501236762754,-2.8624439491618374,-2.146754457398242
-6919.093026008714,-15578.7982200401,16097.210767794544,-1.8026568807288945,-2.247984132765631,-2.949660233212133
-9519.669560265656,-18542.14708411959,10737.936090866235,-1.3883043359168659,-1.387960647289249,-3.6260537770087646
-11503.163459665388,-20077.533962785663,3790.664444312199,-0.7986876103827364,-0.30482581301788225,-4.033533527909683
-12362.506683397662,-19465.57286118609,-4258.062781537367,-0.06120706998509744,0.9171105892348651,-4.019098373642468
-11611.466367751349,-16147.342964343408,-12425.102328280722,0.7484567856953109,2.1198704885560917,-3.455667682088027
-8941.486071906382,-9980.956775808845,-19246.84691299961,1.5019917672493432,3.07784759205181,-2.2944608117403122
-4416.751483354361,-1513.9398360616738,-22983.690052225982,2.0306496620644103,3.5327996027251287,-0.6231063422874805
1350.8525875046892,7838.286600181632,-22063.18916781792,2.160970895447652,3.263933300130801,1.2920813723431204
7143.456432019613,15860.143902465234,-15729.712686704826,1.7746085088319843,2.186102764114432,3.0109501868608097
11307.287814709758,19992.06347124593,-4729.131207590814,0.8801724019690063,0.4481398315488095,4.002687052445573
12221.182101516231,18208.424030963317,8299.463128041618,-0.3314862018548773,-1.5190885496034987,3.818787641192494
9009.450579060715,10124.446180501736,19131.3564112054,-1.4894606835774753,-3.0644688880659032,2.322570525908108
