,x,y,z,vx,vy,vz
0,608.082354383613,8168.665181312785,21967.203457956766,1.8508482703070779,-3.7373645859438938,1.3382087335439474
1,608.6070857674412,8167.121273412606,21967.76284320096,1.8507278202572606,-3.7375084699595527,1.337924669340524
2,834.6622462563909,7496.970810442244,22197.999397719075,1.7978349409009604,-3.797693502414199,1.214706020132863
3,1283.4695074627637,6136.438491560765,22590.81444544612,1.6868200177171924,-3.9064165684324177,0.9650394991395556
4,1946.1526839864991,4052.2021990969356,23009.459024096024,1.5078378742468943,-4.039925937955652,0.5837738144006738
5,2801.1805761581313,1220.4963973324918,23244.41896386781,1.2484146618594325,-4.161071514748379,0.06797476046251026
6,3805.145493045918,-2340.507760282713,23014.821817880544,0.8966138923346852,-4.2186582889277915,-0.5772002565345805
7,4882.158272517208,-6528.0266587546475,21981.702331838664,0.44576534234490023,-4.148655783575527,-1.3308353865429985
8,5914.381222599882,-11106.110545484,19782.243329718203,-0.09922169137805616,-3.8790331442432118,-2.1476619319282255
9,6737.872585269642,-15661.392937916538,16093.938021967697,-0.7144996292021903,-3.340117319869996,-2.9504489756376304
10,7149.576960996608,-19580.94259162411,10733.537861283592,-1.350346019211223,-2.481842566781839,-3.626649410464518
11,6932.084866098362,-22077.499073131396,3785.4340069611553,-1.9273311967742397,-1.2976172608534449,-4.033859209992541
12,5901.295787380371,-22290.5261354822,-4263.607579965796,-2.33943645783356,0.1485813838652777,-4.0190909758349616
13,3976.668912633746,-19483.87576965221,-12430.233032322849,-2.4683915419501017,1.6997712874502358,-3.455299377562167
14,1263.1401326076368,-13335.12141083356,-19250.709113973626,-2.2121496956331486,3.1009136162836377,-2.293762172696028
15,-1881.2553579863904,-4263.633011512383,-22985.474276832065,-1.5262115012631294,4.026709720174879,-0.6221834205607686
16,-4832.996874964574,6319.931172961406,-22062.376729860418,-0.4690163389298861,4.154520874261621,1.2930464742717338
17,-6792.228352430854,16017.01594201527,-15726.341911932777,0.7668132659232139,3.281457747541523,3.0117257323393423
18,-7002.076017949077,21875.945251291047,-4723.980561242627,1.8627286602530273,1.4598531510485795,4.003049822961133
19,-5075.131876061753,21332.05662902541,8304.907120500538,2.445013503963065,-0.9057666136073247,3.8186045597501175
20,-1322.3319941725747,13482.471509824025,19135.250414221257,2.221571389785648,-3.0783225969965198,2.3218772919325565
